"id";"nummer";"name";"stadtbezirk";"hst_oepnv";"umsetzungsstand_detail";"umsetzungsstand_kurz";"stellplaetze_carsharing";"carsharing_e_fahrzeug";"stellplaetze_eladen";"schnelllader_gr_50kw";"lage_pr_parkplatz";"mobibike_rueckgabe";"anzahl_docks";"luftpumpe";"luftpumpe_detail";"url_dd";"url_dvb";"geom";"ds_modified"
3;"29";"Plattleite";"Loschwitz";"Plattleite";"in Betrieb seit 10.6.2022";"Betrieb";2;"0";0;"0";"nein";"ja";4;"nein";"Luftpumpe steht neben der Infostele";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.82140024964377644778 51.06383716628857172282)";2025-09-03 15:15:54
61;"33";"Altenberger Straße";"Blasewitz";"Altenberger Straße";"in Betrieb seit 5.2.2021";"Betrieb";3;"2";2;"0";"nein";"ja";5;"nein";"auf der ""Spitze"" zwischen Bärensteiner und Altenberger Straße rechts neben den MOBIbike-Ständern";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.80576339196050916769 51.03926450074050791272)";2025-09-03 15:15:54
62;"34";"Niederwaldstraße";"Blasewitz";"Niederwaldstraße";"in Betrieb seit 20.1.2022";"Betrieb";3;"2";4;"0";"nein";"ja";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.80260897482957282989 51.04694144488058782372)";2025-09-03 15:15:54
63;"37";"Alemannenstraße";"Blasewitz";"Wormser Straße";"in Betrieb seit September 2021";"Betrieb";2;"2";0;"0";"nein";"ja";3;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.78827531150625418377 51.04850803353696164777)";2025-09-03 15:15:54
64;"38";"Universitätsklinikum - Fiedlerstraße";"Blasewitz";"Augsburger Straße";"in Betrieb seit 13.11.2024";"Betrieb";4;"0";0;"0";"nein";"ja";12;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.78291347819894596682 51.05445500687310556032)";2025-09-03 15:15:54
5;"42";"Karcherallee";"Blasewitz";"Karcherallee";"in Betrieb seit seit 20.12.2021";"Betrieb";2;"0";4;"0";"nein";"ja";6;"nein";"derzeit wg. Baumaßnahme nicht in Betrieb (04-2022)";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.77944428693869127756 51.03795007812573913952)";2025-09-03 15:15:54
39;"43";"S-Bahnhof Reick (P+R)";"Blasewitz";"S-Bahnhof Reick";"Teilbetrieb: Ladesäulen seit 22. KW 2020 in Betrieb";"Teilbetrieb";0;"0";4;"0";"ja";"nein";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.79026874335102625935 51.02104568280181950968)";2025-09-03 15:15:54
6;"44";"Kronstädter Platz";"Leuben";"Kronstädter Platz";"in Betrieb seit 08.11.2022";"Betrieb";2;"0";4;"0";"nein";"ja";6;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.83934303931222231654 51.02250985446734432571)";2025-09-03 15:15:54
40;"46";"Altleuben";"Leuben";"Altleuben";"in Betrieb seit 3.12.2020";"Betrieb";2;"0";4;"4";"nein";"ja";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.82675147483577582364 51.01186817294766484565)";2025-09-03 15:15:54
70;"48";"S-Bahnhof Niedersedlitz";"Leuben";"Bf. Niedersedlitz";"in Betrieb seit 01/2023";"Betrieb";2;"0";4;"0";"ja";"ja";11;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.82897434622998211751 50.99983505738052969036)";2025-09-03 15:15:54
