"id";"nummer";"name";"stadtbezirk";"hst_oepnv";"umsetzungsstand_detail";"umsetzungsstand_kurz";"stellplaetze_carsharing";"carsharing_e_fahrzeug";"stellplaetze_eladen";"schnelllader_gr_50kw";"lage_pr_parkplatz";"mobibike_rueckgabe";"anzahl_docks";"luftpumpe";"luftpumpe_detail";"url_dd";"url_dvb";"geom";"ds_modified"
56;"18";"Königsbrücker Platz";"Neustadt";"Tannenstraße";"in Betrieb seit 4.12.2020; Ladeinfrastruktur wird derzeit als Nachrüstung geplant";"Betrieb";5;"2";0;"0";"nein";"ja";6;"nein";"links neben den MOBIbike-Ständern auf der nördlichen Straßenseite";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.74981503356977619035 51.07536150204181524259)";2025-09-03 15:15:52
30;"22";"Altpieschen";"Pieschen";"Altpieschen";"in Betrieb seit 13.09.2019";"Betrieb";3;"2";2;"2";"nein";"ja";6;"nein";"am Rand der nordwestlichen Platzfläche (Eiswagen) rechts neben den Ständern von MOBIbike";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.71676617749167448324 51.07771163819516146987)";2025-09-03 15:15:52
31;"23";"Elbepark";"Pieschen";"Elbepark";"in Betrieb seit Nov. 2022";"Betrieb";1;"0";6;"6";"nein";"ja";6;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;MULTIPOINT(13.69398697683143417692 51.08466160939352818104,13.6957569151050204681 51.0821466739726233186)";2025-09-03 15:15:52
36;"31";"Pillnitz";"Loschwitz";"Pillnitz Leonardo-da-Vinci-Straße";"in Betrieb seit 26.6.2020";"Betrieb";1;"1";3;"2";"nein";"ja";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.86346471447638961649 51.01394484213442126475)";2025-09-03 15:15:54
37;"32";"Schillerplatz";"Blasewitz";"Schillerplatz";"in Betrieb seit 11/2019";"Betrieb";2;"2";2;"0";"nein";"ja";6;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.80437878820824870729 51.05140430008894014691)";2025-09-03 15:15:54
38;"36";"Pohlandplatz";"Blasewitz";"Pohlandplatz";"in Betrieb seit 3.12.2020";"Betrieb";4;"2";2;"0";"nein";"ja";6;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.79505030669272969135 51.04302312113428286011)";2025-09-03 15:15:54
65;"39";"Zwinglistraße";"Blasewitz";"Zwinglistraße";"in Betrieb seit 08/2020";"Betrieb";3;"1";3;"0";"nein";"ja";6;"nein";"links neben den Ständern von MOBbike an der Rothermundstraße";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.78355585591622833874 51.03328665613145176394)";2025-09-03 15:15:54
16;"53";"Jacob-Winter-Platz";"Prohlis";"Jacob-Winter-Platz";"in Betrieb seit 21.07.2022";"Betrieb";2;"0";6;"0";"nein";"ja";4;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.79913435929293008542 51.00544964046079599029)";2025-09-03 15:15:54
43;"54";"TU Dresden";"Plauen";"Nürnberger Platz";"In Betrieb seit 16.12.2019";"Betrieb";4;"2";6;"6";"nein";"ja";18;"nein";"rechts neben den Ständern von MOBIbike auf dem Gehweg Hettnerstraße";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.72721998456681724576 51.03126943932871029119)";2025-09-03 15:15:54
71;"55";"Strehlener Platz";"Plauen";"Strehlener Platz";"in Betrieb ab Ende Mai 2022, MOBIbike und Luftpumpe ab 12.4.2022, 2 weitere SP CS seit 09.12.24";"Betrieb";4;"2";8;"0";"nein";"ja";4;"nein";"neben den MOBIbikeständern auf der Ackermannstraße (Westseite) im Bereich der landwärtigen Haltestelle der Straßenbahn ";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.74768117941447620467 51.03458346426178593447)";2025-09-03 15:15:54
7;"56";"Mommsenstraße";"Plauen";"Mommsenstraße";"in Betrieb 22.9.2021, 1 SP weniger für CS seit 06/2025, ein weiterer SP für öLIS";"Betrieb";2;"0";6;"0";"nein";"ja";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.72756863745323485659 51.02711464477710023857)";2025-09-03 15:15:54
45;"62";"Reisewitzer Straße";"Cotta";"Löbtau Tharandter Straße";"in Betrieb seit 17.02.2020";"Betrieb";3;"2";4;"4";"nein";"ja";5;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.70112729172046428516 51.04300246025297838059)";2025-09-03 15:15:54
10;"64";"Kirschenstraße";"Cotta";"Kirschenstraße";"in Betrieb seit Januar 2023";"Betrieb";2;"0";8;"8";"nein";"ja";5;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.6642037101722735315 51.04628337259904213852)";2025-09-03 15:15:54
50;"73";"Friedrichstadt";"Altstadt";"Krankenhaus Friedrichstadt";"Teilbetrieb seit 9.4.2021, in Betrieb seit 13.4.2021";"Betrieb";3;"1";4;"4";"nein";"ja";5;"nein";"neben den Ständern für das MOBIbike";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.71823893497692559151 51.0600220854821813532)";2025-09-03 15:15:54
49;"72";"Gompitz";"Cotta";"Gompitzer Höhe";"Teilbetrieb: nur Ladesäulen, erneuert";"Teilbetrieb";0;"0";8;"4";"ja";"nein";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.63122216528071106723 51.03959133339588305489)";2025-09-03 15:15:54
52;"76";"Weißig ";"Loschwitz";"Gasthof Weißig";"in Betrieb seit 11/2019";"Betrieb";1;"1";5;"4";"nein";"nein";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.88519390921466190036 51.06123257825083072703)";2025-09-03 15:15:54
78;"77";"Heeresbäckerei";"Neustadt";"Heeresbäckerei";"in Betrieb seit 04/2023";"Betrieb";2;"0";4;"4";"nein";"ja";6;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.75932868043188861407 51.08245433474970553789)";2025-09-03 15:15:54
24;"4";"Bahnhof Mitte";"Altstadt";"Bahnhof Mitte";"in Betrieb seit 17.02.2020";"Betrieb";3;"2";2;"2";"nein";"ja";6;"nein";"auf dem Bahnhofsvorplatz neben den Ständern für das MOBIbike";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.72308023225743056628 51.05627179065313470119)";2025-09-03 15:15:52
12;"5";"S-Bf. Freiberger Straße (WTC)";"Altstadt";"S-Bf. Freiberger Str.";"in Betrieb seit 7.6.2021, ein CS SP weniger seit März 2025, ein weiterer für LIS";"Betrieb";1;"1";4;"3";"nein";"ja";12;"nein";"neben den Ständern für das MOBIbike an der Gebäudeecke des WTC Ammonstraße/ Freiberger Straße ";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.7223122490423286024 51.04960385090067376268)";2025-09-03 15:15:52
20;"7";"Bürgerwiese";"Altstadt";"Lennéplatz";"Teilbetrieb seit 11/2021 vollständig seit 09/2022. seit 06/2024 mit eCS";"Betrieb";4;"4";0;"0";"nein";"ja";11;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.743008627032249791 51.04058851982014743953)";2025-09-03 15:15:52
25;"8";"Gläserne Manufaktur";"Altstadt";"Straßburger Platz";"in Betrieb seit 17.04.2019";"Betrieb";2;"0";8;"4";"nein";"ja";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.75396159720158273387 51.04481346571056832317)";2025-09-03 15:15:52
26;"9";"Fetscherplatz";"Altstadt";"Fetscherplatz";"in Betrieb seit 12.03.2020, Upgrade BS auf 8er Station im Zuge BM Fetscherplatz Nov 24 erfolgt";"Betrieb";4;"2";6;"6";"nein";"ja";8;"nein";"auf der westlichen Seite des Fetscherplatzes (Seite mit dem Kiosk) rechts neben den Ständern bzw. der Stele von MOBIbike";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.77122850850788715604 51.04601413379321428465)";2025-09-03 15:15:52
